,year,input_string,sale_date,address,postal_code,ppr_county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description,date,formatted_address,accuracy,latitude,longitude,postcode,type,geo_county,electoral_district,electoral_district_id,region,small_area
29842,2013,"15 Glenesky Square, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"15 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Glenesky Square, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727901,-6.3380633,,premise,Fingal,Castleknock-Park,4017,Dublin,267041018
29845,2013,"15 Grand Canal Court, Herberton Road,Dublin,Ireland",18/10/2013,"15 Grand Canal Court, Herberton Road",Dublin 8,Dublin,118950,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/10/2013,"Apartment 12, Grand Canal Court, Herberton Rd, Rialto, Dublin 8, Ireland",ROOFTOP,53.3343242,-6.2990829,,premise,Dublin City,Ushers E,2156,Dublin,268152002
29958,2013,"15 Rosanule, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"15 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Apartment 57, Rosanule, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727265,-6.3393014,,premise,Fingal,Castleknock-Park,4017,Dublin,267041014
29997,2013,"15 Surehaven Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"15 Surehaven Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"15 Surehaven Rd, Phoenix Park Racecourse, Dublin 15, D15 YVX2, Ireland",ROOFTOP,53.3722419,-6.3405749,D15 YVX2,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
30094,2013,"151 Millrace Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"151 Millrace Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"151 Millrace Rd, Phoenix Park Racecourse, Dublin 15, D15 KN30, Ireland",ROOFTOP,53.3724294,-6.3357459,D15 KN30,street_address,Fingal,Castleknock-Park,4017,Dublin,267041017
30262,2013,"16 Cloonlara Square, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"16 Cloonlara Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Cloonlara Square, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3733658,-6.3375763,,premise,Fingal,Castleknock-Park,4017,Dublin,267041011
30340,2013,"16 Heathfield Terrace, Cappagh Road, Finglas,Dublin,Ireland",12/09/2013,"16 Heathfield Terrace, Cappagh Road, Finglas",Dublin 11,Dublin,110573,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,12/09/2013,"16 Heathfield Terrace, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 DT0K, Ireland",ROOFTOP,53.3958631,-6.3206392,D11 DT0K,street_address,Fingal,The Ward,4041,Dublin,267158009
30443,2013,"16 Stocking Wood Drive, Stocking Avenue, Rathfarnham,Dublin,Ireland",02/10/2013,"16 Stocking Wood Drive, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,299000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,02/10/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
30444,2013,"16 Stocking Wood Walk, Rathfarnham, Dublin 16,Dublin,Ireland",12/07/2013,"16 Stocking Wood Walk, Rathfarnham, Dublin 16",Dublin 16,Dublin,230000,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,12/07/2013,"16 Stocking Wood Walk, Rathfarnham, Dublin 16, D16 DX31, Ireland",ROOFTOP,53.272014,-6.3167011,D16 DX31,street_address,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085011
30445,2013,"16 Surehaven Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"16 Surehaven Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"16 Surehaven Rd, Phoenix Park Racecourse, Dublin 15, D15 ND9F, Ireland",ROOFTOP,53.3722821,-6.3406229,D15 ND9F,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
30664,2013,"17 Cedarhurst Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"17 Cedarhurst Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"17 Cedarhurst Rd, Pelletstown, Dublin, Ireland",RANGE_INTERPOLATED,53.3720299,-6.3370626,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041018
30720,2013,"17 Glenesky Square, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"17 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Glenesky Square, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727901,-6.3380633,,premise,Fingal,Castleknock-Park,4017,Dublin,267041018
30809,2013,"17 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"17 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"17 Phoenix Park Ave, Ashtown, Dublin, Ireland",RANGE_INTERPOLATED,53.3726971,-6.3403709,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
30819,2013,"17 Rosanule, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"17 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Apartment 57, Rosanule, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727265,-6.3393014,,premise,Fingal,Castleknock-Park,4017,Dublin,267041014
30858,2013,"17 Stocking Wood Green, Stocking Avenue, Rathfarnham,Dublin,Ireland",28/07/2013,"17 Stocking Wood Green, Stocking Avenue, Rathfarnham",Dublin 14,Dublin,250000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/07/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
31066,2013,"18 Belfry Lawns, Citywest,Dublin,Ireland",19/12/2013,"18 Belfry Lawns, Citywest",Dublin 24,Dublin,155000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19/12/2013,"18 Belfry Lawn, Citywest, Dublin, D24 YTN0, Ireland",ROOFTOP,53.2785882,-6.4172188,D24 YTN0,street_address,South Dublin,Tallaght-Jobstown,3032,Dublin,267140005
31114,2013,"18 Cedarhurst Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"18 Cedarhurst Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"18 Cedarhurst Rd, Pelletstown, Dublin, Ireland",RANGE_INTERPOLATED,53.3720299,-6.3370626,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041018
31118,2013,"18 Claremont, Carrickmines,Dublin,Ireland",05/04/2013,"18 Claremont, Carrickmines",Dublin 18,Dublin,603524,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,05/04/2013,"Claremont Lodge, Claremont Rd, Cabinteely, Dublin 18, Ireland",ROOFTOP,53.2622691,-6.1693382,,premise,Dn Laoghaire-Rathdown,Foxrock-Carrickmines,5054,Dublin,267088003
31297,2013,"18 Stocking Wood Drive, Stocking Avenue, Rathfarnham,Dublin,Ireland",18/06/2013,"18 Stocking Wood Drive, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,263436,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/06/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
31299,2013,"18 Stocking Wood Walk, Stocking Avenue, Rathfarnham,Dublin,Ireland",18/07/2013,"18 Stocking Wood Walk, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,242290.74,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/07/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
31533,2013,"19 Creston Avenue, Saint Margaret's Road, Finglas,Dublin,Ireland",03/10/2013,"19 Creston Avenue, Saint Margaret's Road, Finglas",Dublin 11,Dublin,171806.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,03/10/2013,"Finglas, Co. Dublin, Ireland",APPROXIMATE,53.390325,-6.2984007,,"locality,political",Dublin City,Finglas North C,2053,Dublin,268065014
31577,2013,"19 Glenesky Square, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"19 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Glenesky Square, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727901,-6.3380633,,premise,Fingal,Castleknock-Park,4017,Dublin,267041018
31628,2013,"19 Millrace Court, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"19 Millrace Court, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Millrace Court, Millrace Rd, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3726618,-6.3369619,,premise,Fingal,Castleknock-Park,4017,Dublin,267041017
31655,2013,"19 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"19 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"19 Phoenix Park Ave, Ashtown, Dublin, Ireland",RANGE_INTERPOLATED,53.3726971,-6.3403709,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
31677,2013,"19 Rosanule, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"19 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Apartment 57, Rosanule, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727265,-6.3393014,,premise,Fingal,Castleknock-Park,4017,Dublin,267041014
31741,2013,"19 The Waterfront, Drumcondra,Dublin,Ireland",23/10/2013,"19 The Waterfront, Drumcondra",Dublin 9,Dublin,281000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23/10/2013,"The Waterfront, Drumcondra Rd Lower, Drumcondra, Dublin 9, Ireland",ROOFTOP,53.3680655,-6.2547618,,premise,Dublin City,Drumcondra South B,2048,Dublin,268059005
31802,2013,"195 New Seskin Court, Tallaght,Dublin,Ireland",10/06/2013,"195 New Seskin Court, Tallaght",Dublin 24,Dublin,312775.33,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10/06/2013,"Seskin View Rd, Oldbawn, Dublin 24, Ireland",GEOMETRIC_CENTER,53.2813271,-6.352993,,route,South Dublin,Tallaght-Millbrook,3037,Dublin,267145008
31823,2013,"19A  Camac Park, Bluebell,Dublin,Ireland",18/12/2013,"19A  Camac Park, Bluebell",Dublin 12,Dublin,82500,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/12/2013,"19A Camac Park, Inchicore, Dublin 12, D12 PW25, Ireland",ROOFTOP,53.3295388,-6.3486956,D12 PW25,street_address,Dublin City,Inchicore B,2107,Dublin,268079001
31840,2013,"1A Monksfield Meadows, Clondalkin,Dublin,Ireland",15/07/2013,"1A Monksfield Meadows, Clondalkin",Dublin 22,Dublin,179000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,15/07/2013,"1A Monksfield Meadows, Knockmitten, Dublin 22, D22 N2E2, Ireland",ROOFTOP,53.3230426,-6.377868,D22 N2E2,street_address,South Dublin,Clondalkin-Monastery,3007,Dublin,267050028
31916,2013,"2 Aubrey, Shankill,Dublin,Ireland",22/08/2013,"2 Aubrey, Shankill",Dublin 18,Dublin,190300,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,22/08/2013,"2 Aubrey Grove, Shankill, Dublin 18, D18 YF21, Ireland",ROOFTOP,53.2302934,-6.1211706,D18 YF21,street_address,Dn Laoghaire-Rathdown,Shankill-Shanganagh,5062,Dublin,267122005
32010,2013,"2 Castle Way, Chancery Lane/ Golden Lane,Dublin,Ireland",30/10/2013,"2 Castle Way, Chancery Lane/ Golden Lane",Dublin 8,Dublin,273926,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30/10/2013,"Golden Ln, Dublin, Ireland",GEOMETRIC_CENTER,53.3406393,-6.2687089,,route,Dublin City,Royal Exchange A,2144,Dublin,268140003
32020,2013,"2 Cedarhurst Green, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Cedarhurst Green, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Cedarhurst Rd, Pelletstown, Dublin, Ireland",RANGE_INTERPOLATED,53.3718172,-6.3341432,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041018
32021,2013,"2 Cherangani, Old Navan Road, Castleknock,Dublin,Ireland",25/11/2013,"2 Cherangani, Old Navan Road, Castleknock",Dublin 15,Dublin,409691.62,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,25/11/2013,"Cherangani, Old Navan Rd, Blanchardstown, Dublin 15, Ireland",ROOFTOP,53.3827033,-6.3652136,,premise,Fingal,Blanchardstown-Abbotstown,4008,Dublin,267027001
32022,2013,"2 Cherbury Mews, Knocklyon,Dublin,Ireland",13/09/2013,"2 Cherbury Mews, Knocklyon",Dublin 16,Dublin,484581,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13/09/2013,"Cherbury Mews, Schollarstown, Dublin, Co. Dublin, Ireland",ROOFTOP,53.2818801,-6.3173392,,premise,South Dublin,Ballyboden,3002,Dublin,267013001
32191,2013,"2 Knockcree, Glenamuck Road, Carrickmines,Dublin,Ireland",24/10/2013,"2 Knockcree, Glenamuck Road, Carrickmines",Dublin 18,Dublin,426784,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,24/10/2013,"Knockree, Glenamuck Rd, Dublin 18, Ireland",ROOFTOP,53.2506438,-6.1774173,,premise,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038001
32275,2013,"2 Millrace Road, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Millrace Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,,,NA,NA,,,NA,NA,NA,NA,NA
32322,2013,"2 Phoenix Park Avenue, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Phoenix Park Avenue, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, D15 NA4E, Ireland",ROOFTOP,53.3723906,-6.3400282,D15 NA4E,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32323,2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, D15 NA4E, Ireland",ROOFTOP,53.3723906,-6.3400282,D15 NA4E,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32324,2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, D15 NA4E, Ireland",ROOFTOP,53.3723906,-6.3400282,D15 NA4E,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32325,2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, D15 NA4E, Ireland",ROOFTOP,53.3723906,-6.3400282,D15 NA4E,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32326,2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"2 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"2 Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, D15 NA4E, Ireland",ROOFTOP,53.3723906,-6.3400282,D15 NA4E,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32421,2013,"2 Stocking Wood Drive, Stocking Avenue, Rathfarnham,Dublin,Ireland",04/07/2013,"2 Stocking Wood Drive, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,229074.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,04/07/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
32422,2013,"2 Stocking Wood Manor, Stocking Avenue, Rathfarnham,Dublin,Ireland",07/06/2013,"2 Stocking Wood Manor, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,240000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,07/06/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
32423,2013,"2 Stocking Wood Rise, Stocking Avenue, Rathfarnham,Dublin,Ireland",05/07/2013,"2 Stocking Wood Rise, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,280000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/07/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
32491,2013,"2 The walk, Carrickmines Manor, Glenamuck Road,Dublin,Ireland",16/08/2013,"2 The walk, Carrickmines Manor, Glenamuck Road",Dublin 18,Dublin,251101,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16/08/2013,"Glenamuck Rd, Dublin, Ireland",GEOMETRIC_CENTER,53.2491119,-6.1807247,,route,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038001
32538,2013,"2 college sq, terenure,Dublin,Ireland",12/12/2013,"2 college sq, terenure",Dublin 6w,Dublin,581500,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,12/12/2013,"2 College Dr, Terenure, Dublin 6W, Co. Dublin, D6W DE20, Ireland",ROOFTOP,53.3060271,-6.3025853,D6W DE20,street_address,South Dublin,Templeogue-Kimmage Manor,3042,Dublin,267150018
32634,2013,"20 Chapel Hill, Chapelizod,Dublin,Ireland",07/05/2013,"20 Chapel Hill, Chapelizod",Dublin 20,Dublin,190000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,07/05/2013,"20 Chapel Cres, Riverston Abbey, Dublin 7, D07 KX24, Ireland",ROOFTOP,53.3723295,-6.3094519,D07 KX24,street_address,Dublin City,Ashtown A,2006,Dublin,268006016
32642,2013,"20 Clearstream Court, McKee Avenue, Finglas,Dublin,Ireland",29/10/2013,"20 Clearstream Court, McKee Avenue, Finglas",Dublin 11,Dublin,130000,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,29/10/2013,"McKee Ave, Finglas North, Dublin, Ireland",GEOMETRIC_CENTER,53.3937668,-6.3008925,,route,Dublin City,Finglas North C,2053,Dublin,268065008
32750,2013,"20 Millrace Court, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"20 Millrace Court, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Millrace Court, Millrace Rd, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3726618,-6.3369619,,premise,Fingal,Castleknock-Park,4017,Dublin,267041017
32768,2013,"20 Packenham House, Spencer Dock, North Wall Quay,Dublin,Ireland",11/03/2013,"20 Packenham House, Spencer Dock, North Wall Quay",Dublin 1,Dublin,303964,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11/03/2013,"N Wall Quay, North Dock, Dublin, Ireland",GEOMETRIC_CENTER,53.3473601,-6.2368936,,route,Dublin City,North Dock B,2077,Dublin,268108027
32772,2013,"20 Phoenix Park Way, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"20 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"20 Phoenix Park Ave, Ashtown, Dublin, Ireland",RANGE_INTERPOLATED,53.3726986,-6.3403758,,street_address,Fingal,Castleknock-Park,4017,Dublin,267041014
32782,2013,"20 Residential Properties, The Coast, Baldoyle,Dublin,Ireland",20/11/2013,"20 Residential Properties, The Coast, Baldoyle",Dublin 13,Dublin,2129955.95,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/11/2013,"Baldoyle, Co. Dublin, Ireland",APPROXIMATE,53.3986712,-6.1272516,,"locality,political",Fingal,Baldoyle,4004,Dublin,267004022
32783,2013,"20 Residential Properties, The Coast, Baldoyle,Dublin,Ireland",20/11/2013,"20 Residential Properties, The Coast, Baldoyle",Dublin 13,Dublin,2129955.95,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/11/2013,"Baldoyle, Co. Dublin, Ireland",APPROXIMATE,53.3986712,-6.1272516,,"locality,political",Fingal,Baldoyle,4004,Dublin,267004022
32784,2013,"20 Residential Properties, The Coast, Baldoyle,Dublin,Ireland",20/11/2013,"20 Residential Properties, The Coast, Baldoyle",Dublin 13,Dublin,2129955.95,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/11/2013,"Baldoyle, Co. Dublin, Ireland",APPROXIMATE,53.3986712,-6.1272516,,"locality,political",Fingal,Baldoyle,4004,Dublin,267004022
32785,2013,"20 Residential Properties, The Coast, Baldoyle,Dublin,Ireland",20/11/2013,"20 Residential Properties, The Coast, Baldoyle",Dublin 13,Dublin,2129955.95,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/11/2013,"Baldoyle, Co. Dublin, Ireland",APPROXIMATE,53.3986712,-6.1272516,,"locality,political",Fingal,Baldoyle,4004,Dublin,267004022
32788,2013,"20 Rosanule, Phoenix Park Racecourse, Castleknock,Dublin,Ireland",20/12/2013,"20 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2013,"Apartment 57, Rosanule, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",ROOFTOP,53.3727265,-6.3393014,,premise,Fingal,Castleknock-Park,4017,Dublin,267041014
32795,2013,"20 STOCKING WOOD WALK, STOCKING WOOD, STOCKING AVENUE  RATHFARNHAM,Dublin,Ireland",14/11/2013,"20 STOCKING WOOD WALK, STOCKING WOOD, STOCKING AVENUE  RATHFARNHAM",Dublin 14,Dublin,246696.03,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14/11/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2729175,-6.3191838,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
32813,2013,"20 Stocking Wood Drive, Stocking Avenue, Rathfarnham,Dublin,Ireland",14/10/2013,"20 Stocking Wood Drive, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,263436.12,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14/10/2013,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
32820,2013,"20 TALAVERA HOUSE, THE COAST, BALDOYLE,Dublin,Ireland",25/11/2013,"20 TALAVERA HOUSE, THE COAST, BALDOYLE",Dublin 13,Dublin,203275,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,25/11/2013,"Talavera House, The Coast, Dublin 13, Ireland",ROOFTOP,53.3990264,-6.1486284,,premise,Fingal,Baldoyle,4004,Dublin,267004009
